modelo,hiperpar,ks_train,auc_train,ks_val,auc_val
GB,ntrees:200-learnr:0.009-intdepth:2,49.77662029685151,81.2756286744726,25.174825174825177,62.505827505827504
GB,ntrees:300-learnr:0.008-intdepth:2,53.24482838933706,82.87316408703693,22.878787878787875,62.7972027972028
GB,ntrees:500-learnr:0.005-intdepth:1,44.919435092845504,78.5798979440598,25.15151515151515,62.30769230769231
GB,ntrees:200-learnr:0.01-intdepth:4,57.5430349996824,86.90776147423547,25.407925407925415,62.42424242424243
GB,ntrees:200-learnr:0.005-intdepth:2,46.73399817908489,79.1889869924552,25.932400932400935,62.331002331002324
GB,ntrees:100-learnr:0.006-intdepth:1,34.97003959431705,73.05574964534503,23.473193473193476,60.06993006993008
GB,ntrees:100-learnr:0.002-intdepth:2,41.91492515191937,75.67807914628723,25.128205128205128,61.386946386946384
GB,ntrees:500-learnr:0.009-intdepth:5,73.88680683478371,94.20342021498091,28.41491841491841,63.96270396270396
GB,ntrees:500-learnr:0.007-intdepth:1,49.25575388003133,79.96181724505425,22.878787878787875,62.85547785547786
GB,ntrees:500-learnr:0.003-intdepth:1,40.65722331618286,76.54266093572451,23.543123543123546,61.48018648018648
GB,ntrees:400-learnr:0.003-intdepth:4,55.40663575345657,85.2922286448298,23.8927738927739,62.89044289044289
GB,ntrees:200-learnr:0.006-intdepth:3,50.566389294713,82.67378093967689,24.41724941724942,63.00699300699301
GB,ntrees:200-learnr:0.007-intdepth:1,39.776408562535735,76.02355897153585,22.80885780885781,61.3053613053613
GB,ntrees:500-learnr:0.009-intdepth:2,57.3524741154799,85.68323134797123,23.682983682983682,63.14685314685315
GB,ntrees:300-learnr:0.001-intdepth:3,45.32384763598637,79.3357894513964,25.955710955710952,62.529137529137536
GB,ntrees:300-learnr:0.004-intdepth:2,47.54282326536662,80.27412536083057,26.689976689976692,62.34265734265735
GB,ntrees:200-learnr:0.006-intdepth:1,38.90406318151983,75.33365799261753,23.44988344988346,60.92074592074592
GB,ntrees:300-learnr:0.009-intdepth:3,58.258696987020684,86.55663540056604,26.876456876456878,63.31002331002331
GB,ntrees:100-learnr:0.007-intdepth:2,44.92155243600331,78.28699880723002,23.543123543123546,61.95804195804195
GB,ntrees:300-learnr:0.002-intdepth:4,51.76268817887314,82.90421845335139,26.002331002331005,63.240093240093245
GB,ntrees:500-learnr:0.006-intdepth:1,46.67471257066633,79.21862979666447,25.174825174825177,62.55244755244755
GB,ntrees:500-learnr:0.005-intdepth:4,61.305553791102916,88.61434005942677,26.095571095571092,63.56643356643357
GB,ntrees:400-learnr:0.004-intdepth:4,57.21908149653814,86.4673540974119,25.407925407925415,63.15850815850816
GB,ntrees:200-learnr:0.005-intdepth:4,52.842533189354,84.17215411435065,22.16783216783217,62.645687645687644
GB,ntrees:100-learnr:0.005-intdepth:3,48.235194477969046,80.23566029346377,25.839160839160847,62.55244755244755
GB,ntrees:400-learnr:0.001-intdepth:5,52.378835037794566,83.91948449751918,24.46386946386947,62.925407925407924
GB,ntrees:400-learnr:0.008-intdepth:3,59.06963941646023,87.29170636685087,26.923076923076927,63.03030303030304
GB,ntrees:200-learnr:0.001-intdepth:3,44.802981219166185,78.7725761714201,25.955710955710952,62.668997668997676
GB,ntrees:300-learnr:0.007-intdepth:5,63.13493827944695,89.6179607162266,27.657342657342653,63.04195804195805
GB,ntrees:500-learnr:0.001-intdepth:5,52.72607931567469,84.27660971013572,24.51048951048952,62.90209790209791
GB,ntrees:500-learnr:0.01-intdepth:4,70.03324228757755,92.8003274824084,26.923076923076927,63.36829836829837
GB,ntrees:400-learnr:0.004-intdepth:1,40.87530966143683,76.78615539887215,25.15151515151515,61.62004662004662
